代码,公司名称,行业板块,现价 ($),市值 (十亿$),滚动PE,PEG,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
DASH,DoorDash,Consumer Discretionary,193.36,83.78,101.24,1.04,8.89,35.6,0.0,-5.95
DOV,Dover Corporation,Industrials,191.88,25.84,23.23,1.46,14.91,6.9,112.0,-3.73
DOW,Dow Inc.,Materials,28.02,20.24,,38.89,-5.54,19.7,490.0,-6.25
DHI,D. R. Horton,Consumer Discretionary,141.51,39.58,13.5,1.18,12.63,,128.0,-2.22
DTE,DTE Energy,Utilities,121.44,25.27,19.18,1.56,11.03,-1.5,385.0,-10.84
DUK,Duke Energy,Utilities,113.35,88.38,17.07,2.11,9.86,1.1,383.0,-6.88
DD,DuPont,Industrials,131.71,17.79,56.53,1.72,1.79,4.0,184.0,-3.03
ETN,Eaton Corporation,Industrials,439.98,170.84,44.85,2.67,19.68,21.4,100.0,5.06
EBAY,eBay Inc.,Consumer Discretionary,107.9,48.02,22.67,1.54,46.61,14.8,115.0,0.19
ECHO,EchoStar,Communication Services,90.11,26.21,,1.33,-33.43,-4.0,0.0,0.44
ECL,Ecolab,Materials,279.49,78.35,37.57,2.48,21.96,9.7,106.0,0.73
EIX,Edison International,Utilities,52.65,20.26,5.43,2.33,19.73,-4.1,668.0,-21.3
EW,Edwards Lifesciences,Health Care,86.29,49.69,51.36,1.83,9.18,13.6,0.0,-2.3
ELV,Elevance Health,Health Care,396.09,85.9,17.51,1.3,11.13,1.4,173.0,0.18
EME,Emcor,Industrials,762.21,33.62,23.74,0.31,40.35,19.8,21.0,-1.09
EMR,Emerson Electric,Industrials,158.23,88.26,34.25,1.8,12.8,7.0,142.0,3.69
ETR,Entergy,Utilities,98.57,47.09,25.21,1.51,10.25,5.9,261.0,-7.64
EOG,EOG Resources,Energy,140.35,74.75,10.93,1.34,22.51,58.7,286.0,-2.94
EQT,EQT Corporation,Energy,50.81,31.78,11.79,1.52,11.08,-3.9,127.0,-4.02
EFX,Equifax,Industrials,148.11,17.4,26.08,1.25,14.27,10.6,151.0,-16.0
EQIX,Equinix,Real Estate,1008.08,99.47,64.95,2.91,10.73,16.7,199.0,-3.31
ERIE,Erie Indemnity,Financials,222.86,11.65,20.24,2.67,24.81,2.8,267.0,-9.1
ESS,Essex Property Trust,Real Estate,271.61,17.45,42.37,7.02,7.71,3.1,381.0,-4.05
EL,Estée Lauder Companies (The),Consumer Staples,94.47,34.18,188.94,2.12,4.75,6.3,147.0,2.15
EG,Everest Group,Financials,370.43,14.2,7.83,0.97,12.57,-11.3,215.0,-0.81
EVRG,Evergy,Utilities,78.04,17.99,19.86,2.0,9.25,4.4,358.0,-4.92
P,Everpure,Information Technology,126.0,41.99,172.6,2.49,17.71,37.7,0.0,31.22
ES,Eversource Energy,Utilities,63.67,23.98,16.54,2.18,9.02,2.3,494.0,-9.34
EXC,Exelon,Utilities,40.34,41.56,14.83,2.16,9.71,9.9,418.0,-8.68
EXE,Expand Energy,Energy,86.84,20.77,7.49,0.82,14.89,-10.6,260.0,-6.91
EXPE,Expedia Group,Consumer Discretionary,264.17,31.71,16.6,0.69,89.49,14.0,73.0,-11.26
EXPD,Expeditors International,Industrials,187.46,24.37,27.29,2.91,42.67,32.1,88.0,1.94
EXR,Extra Space Storage,Real Estate,133.35,28.17,29.37,5.25,6.95,3.8,490.0,-6.27
XOM,ExxonMobil,Energy,160.59,660.33,20.67,1.39,12.58,44.1,254.0,1.0
FFIV,"F5, Inc.",Information Technology,443.06,25.09,35.33,1.6,19.83,10.9,0.0,8.74
FDS,FactSet,Financials,273.08,9.71,17.98,1.19,27.03,6.4,171.0,-2.52
FICO,Fair Isaac,Information Technology,863.09,18.64,25.0,0.68,,25.7,0.0,-20.41
FAST,Fastenal,Industrials,50.43,57.87,43.1,3.37,34.33,14.7,189.0,2.16
FRT,Federal Realty Investment Trust,Real Estate,110.52,9.55,22.33,3.59,12.55,7.2,420.0,-6.48
FDX,FedEx,Industrials,285.85,67.65,15.4,1.18,14.85,12.5,175.0,-9.25
FDXF,FedEx Freight,Industrials,113.18,16.92,25.84,,69.09,4.8,0.0,-16.61
FERG,Ferguson Enterprises,Industrials,222.74,43.09,21.94,1.37,,4.6,162.0,-4.02
FIS,Fidelity National Information Services,Financials,35.41,18.26,5.44,0.18,22.35,29.1,503.0,-12.23
FITB,Fifth Third Bancorp,Financials,52.1,47.23,17.54,1.63,8.44,51.8,326.0,-6.16
FSLR,First Solar,Information Technology,177.71,19.1,10.96,0.32,18.51,-3.7,0.0,-15.71
FE,FirstEnergy,Utilities,43.3,25.05,23.16,1.43,9.49,8.8,431.0,-7.4
FISV,Fiserv,Financials,46.48,24.72,8.9,,,,0.0,-9.77
FLEX,Flex Ltd.,Information Technology,114.68,42.36,44.45,0.94,18.38,20.6,0.0,-0.45
F,Ford Motor Company,Consumer Discretionary,12.71,50.68,,8.48,-18.25,-3.8,476.0,-8.78
FTNT,Fortinet,Information Technology,173.46,127.27,61.51,1.96,117.44,25.6,0.0,7.36
FTV,Fortive,Industrials,56.09,17.1,29.68,0.98,7.32,7.9,51.0,-4.71
FOXA,Fox Corporation (Class A),Communication Services,63.07,26.59,16.42,1.14,14.29,28.1,91.0,-0.81
FOX,Fox Corporation (Class B),Communication Services,56.54,23.84,14.72,,14.29,28.1,101.0,-0.36
BEN,Franklin Resources,Financials,33.02,16.78,22.62,0.4,7.89,14.3,406.0,-1.86
FCX,Freeport-McMoRan,Materials,72.31,103.84,35.45,4.51,14.75,-7.3,83.0,3.87
GRMN,Garmin,Consumer Discretionary,294.14,56.73,30.39,3.14,21.89,11.4,142.0,4.09
IT,Gartner,Information Technology,187.9,11.87,16.9,0.71,113.58,-0.6,0.0,6.05
GE,GE Aerospace,Industrials,327.09,339.38,38.62,4.07,48.23,21.1,59.0,-5.12
GEHC,GE HealthCare,Health Care,66.63,30.1,15.35,1.66,19.38,5.8,24.0,-2.59
GEV,GE Vernova,Industrials,957.63,255.05,27.47,1.87,82.58,21.9,21.0,-1.57
GEN,Gen Digital,Information Technology,21.62,12.94,12.64,1.16,41.94,6.3,217.0,-23.84
GNRC,Generac,Industrials,208.14,12.29,47.85,0.56,9.49,10.6,0.0,3.46
GD,General Dynamics,Industrials,336.72,91.1,20.52,2.08,17.8,8.1,189.0,-9.85
GIS,General Mills,Consumer Staples,33.64,17.99,,11.74,-10.49,-2.8,701.0,-10.6
GM,General Motors,Consumer Discretionary,82.63,74.73,36.89,0.28,3.16,1.9,89.0,-3.09
GPC,Genuine Parts Company,Consumer Discretionary,129.61,17.87,518.44,1.32,0.71,6.0,329.0,-0.88
GILD,Gilead Sciences,Health Care,150.93,187.15,,2.23,-20.68,10.2,219.0,7.17
GPN,Global Payments,Financials,86.49,22.89,40.99,0.21,2.43,68.6,117.0,-1.28
GL,Globe Life,Financials,167.04,12.97,11.2,1.3,20.94,8.0,79.0,-5.17
GDDY,GoDaddy,Information Technology,97.14,12.3,14.43,0.55,442.86,6.6,0.0,0.89
GS,Goldman Sachs,Financials,935.45,272.38,14.44,1.14,16.9,42.5,217.0,-8.06
HAL,Halliburton,Energy,32.76,27.29,17.15,0.68,14.92,3.7,208.0,-3.84
HIG,Hartford (The),Financials,124.23,33.65,8.58,0.12,22.06,8.1,191.0,-9.66
HAS,Hasbro,Consumer Discretionary,88.09,12.42,15.67,1.58,159.56,16.2,323.0,-3.57
HCA,HCA Healthcare,Health Care,435.61,94.31,14.61,1.3,,8.7,74.0,6.15
DOC,Healthpeak Properties,Real Estate,20.31,14.0,58.03,4.32,3.04,11.1,602.0,-3.44
HSIC,Henry Schein,Health Care,86.37,9.84,25.18,1.71,8.85,6.7,0.0,-1.63
HSY,Hershey Company (The),Consumer Staples,166.37,33.43,22.7,0.84,32.81,6.6,348.0,-5.88
HPE,Hewlett Packard Enterprise,Information Technology,62.94,83.55,32.44,0.51,10.94,33.7,90.0,16.92
HLT,Hilton Worldwide,Consumer Discretionary,313.96,70.66,46.04,1.29,,2.5,19.0,-1.23
